TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-02,2026-04-02,FO,BSE,IDO,848882,,BANKEX,,2026-04-30,2026-04-30,61400.00,CE,BANKEX26APR61400CE,388.85,388.85,367.15,385.55,385.55,644.30,58009.41,844.75,300,120,240,14826723.00,4,F1,30,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,850659,,BANKEX,,2026-04-30,2026-04-30,62100.00,CE,BANKEX26APR62100CE,278.65,440.40,271.55,440.40,440.40,455.05,58009.41,680.60,360,240,600,37449745.50,11,F1,30,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,852666,,BANKEX,,2026-04-30,2026-04-30,62000.00,CE,BANKEX26APR62000CE,297.20,452.10,282.30,452.10,452.10,507.90,58009.41,702.35,420,60,1080,67306176.00,27,F1,30,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,853353,,BANKEX,,2026-04-30,2026-04-30,59200.00,CE,BANKEX26APR59200CE,903.70,903.70,897.35,897.35,897.35,1465.35,58009.41,1566.90,60,0,120,7212063.00,2,F1,30,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,853540,,BANKEX,,2026-04-30,2026-04-30,61800.00,CE,BANKEX26APR61800CE,329.40,479.90,307.80,467.10,467.10,548.55,58009.41,747.50,300,60,780,48501444.00,13,F1,30,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,855019,,BANKEX,,2026-04-30,2026-04-30,61500.00,CE,BANKEX26APR61500CE,375.15,375.15,348.80,365.00,365.00,607.10,58009.41,819.55,330,150,420,25979971.50,9,F1,30,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,858004,,BANKEX,,2026-04-30,2026-04-30,56800.00,CE,BANKEX26APR56800CE,1959.00,2112.20,1959.00,2112.20,2112.20,2544.10,58009.41,2770.30,120,120,120,7060272.00,2,F1,30,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,858146,,BANKEX,,2026-04-30,2026-04-30,56400.00,PE,BANKEX26APR56400PE,1629.10,1629.10,1247.90,1247.90,1247.90,1163.90,58009.41,1247.90,180,120,360,20867226.00,8,F1,30,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,858496,,BANKEX,,2026-04-30,2026-04-30,56900.00,CE,BANKEX26APR56900CE,1889.15,1889.15,1889.15,1889.15,1889.15,2484.70,58009.41,2711.00,60,60,60,3527349.00,1,F1,30,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,859087,,BANKEX,,2026-04-30,2026-04-30,57400.00,PE,BANKEX26APR57400PE,2113.20,2113.20,1573.60,1573.60,1573.60,1508.55,58009.41,1573.60,60,0,120,7109208.00,2,F1,30,,,,,
