INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTSTK,AXISBANK,30-Jun-2026,0,,1338.8,1362.5,1320.4,1359.7,1359.7,13379,112415.5594,58912500,-171875,12-Jun-2026
FUTSTK,AXISBANK,28-Jul-2026,0,,1340.4,1367.8,1328,1365.7,1365.7,580,4893.2681,9045000,119375,12-Jun-2026
FUTSTK,AXISBANK,25-Aug-2026,0,,1345,1375.6,1335,1372.6,1372.6,133,1129.5925,267500,25625,12-Jun-2026
FUTSTK,BAJAJ-AUTO,30-Jun-2026,0,,10199,10222,9900,10026,10026,6282,47090.3775,2792175,71475,12-Jun-2026
FUTSTK,BAJAJ-AUTO,28-Jul-2026,0,,10141,10161,9819,9912,9912,1500,11136.0615,139275,-4050,12-Jun-2026
FUTSTK,BAJAJ-AUTO,25-Aug-2026,0,,9950,9959,9828,9926,9926,36,267.2123,6300,1575,12-Jun-2026
FUTSTK,BAJAJFINSV,30-Jun-2026,0,,1672,1699.7,1655.1,1697.3,1697.3,4876,20515.9853,10354750,280500,12-Jun-2026
FUTSTK,BAJAJFINSV,28-Jul-2026,0,,1688,1708,1665.8,1706.2,1706.2,289,1462.7112,1952100,15900,12-Jun-2026
FUTSTK,BAJAJFINSV,25-Aug-2026,0,,1692,1717.4,1680,1716.3,1716.3,60,307.275,43200,13500,12-Jun-2026
FUTSTK,BAJAJHLDNG,30-Jun-2026,0,,9788,10114,9776,10086,10086,617,3083.3895,310200,3600,12-Jun-2026
FUTSTK,BAJAJHLDNG,28-Jul-2026,0,,9980,10152,9945,10147,10147,33,248.361,4875,900,12-Jun-2026
FUTSTK,BAJAJHLDNG,25-Aug-2026,0,,10080,10214,10080,10214,10214,5,38.073,750,150,12-Jun-2026
FUTSTK,BAJFINANCE,30-Jun-2026,0,,881.5,918.95,880.15,916.75,916.75,16515,111751.6174,78321000,1148250,12-Jun-2026
FUTSTK,BAJFINANCE,28-Jul-2026,0,,879.4,923,879.4,920.35,920.35,1330,9032.0884,2214000,134250,12-Jun-2026
FUTSTK,BAJFINANCE,25-Aug-2026,0,,894.85,929,894,926,926,220,1503.9551,294000,34500,12-Jun-2026
FUTSTK,BANDHANBNK,30-Jun-2026,0,,199,208,194.81,206.08,206.08,7996,58571.4834,114069600,2851200,12-Jun-2026
FUTSTK,BANDHANBNK,28-Jul-2026,0,,198.51,207.9,196.56,207.28,207.28,480,3554.6288,4057200,475200,12-Jun-2026
FUTSTK,BANDHANBNK,25-Aug-2026,0,,199.1,208,196.15,206.69,206.69,214,1541.3494,2660400,579600,12-Jun-2026
FUTSTK,BANKBARODA,30-Jun-2026,0,,271.5,276.7,269.05,276.15,276.15,9747,78090.4844,122771025,-6221475,12-Jun-2026
FUTSTK,BANKBARODA,28-Jul-2026,0,,272.65,278,270.85,277.6,277.6,518,4172.495,3536325,-26325,12-Jun-2026
FUTSTK,BANKBARODA,25-Aug-2026,0,,274,279.65,273.8,279.05,279.05,68,551.7413,640575,17550,12-Jun-2026
FUTSTK,BANKINDIA,30-Jun-2026,0,,145.05,146.8,142.47,146.51,146.51,3019,22779.2646,78915200,1648400,12-Jun-2026
FUTSTK,BANKINDIA,28-Jul-2026,0,,145.5,147.72,143.5,147.46,147.46,386,2927.638,2662400,696800,12-Jun-2026
FUTSTK,BANKINDIA,25-Aug-2026,0,,146.34,148.01,144.88,147.85,147.85,38,289.64,296400,-15600,12-Jun-2026
FUTSTK,BDL,30-Jun-2026,0,,1166,1201.6,1159.3,1195.4,1195.4,3200,13230.3822,6079500,-143500,12-Jun-2026
FUTSTK,BDL,28-Jul-2026,0,,1160,1186.5,1146,1180.4,1180.4,558,2762.3368,1068875,8075,12-Jun-2026
FUTSTK,BDL,25-Aug-2026,0,,1158.4,1176,1144.5,1173.4,1173.4,68,335.294,152150,-5950,12-Jun-2026
FUTSTK,BEL,30-Jun-2026,0,,409,409.9,404.1,408.2,408.2,5497,31902.3984,109444275,-940500,12-Jun-2026
FUTSTK,BEL,28-Jul-2026,0,,410.05,412.3,406.8,410.7,410.7,644,3761.9558,6201600,384750,12-Jun-2026
FUTSTK,BEL,25-Aug-2026,0,,412,414,408.25,412.25,412.25,197,1155.8945,993225,99750,12-Jun-2026
FUTSTK,BHARATFORG,30-Jun-2026,0,,1963.9,1988.9,1921,1954.2,1954.2,2660,25965.8665,6849500,-104000,12-Jun-2026
FUTSTK,BHARATFORG,28-Jul-2026,0,,1990,1990,1925.9,1958.6,1958.6,213,2081.503,145500,11000,12-Jun-2026
FUTSTK,BHARATFORG,25-Aug-2026,0,,1980,1980,1945,1956.3,1956.3,18,176.424,11500,2500,12-Jun-2026
