INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTSTK,ASTRAL,30-Jun-2026,0,,1500.1,1519.9,1488.8,1494.5,1494.5,916,5853.8,5885400,28900,11-Jun-2026
FUTSTK,ASTRAL,28-Jul-2026,0,,1494,1510.4,1483.4,1487.4,1487.4,97,616.6257,371450,8925,11-Jun-2026
FUTSTK,ASTRAL,25-Aug-2026,0,,1494.6,1494.6,1480.3,1482.5,1482.5,14,88.397,24650,2975,11-Jun-2026
FUTSTK,AUBANK,30-Jun-2026,0,,951,976,950,966.4,966.4,2609,25236.523,26169000,38000,11-Jun-2026
FUTSTK,AUBANK,28-Jul-2026,0,,960,981,956.9,972.35,972.35,124,1205.75,999000,10000,11-Jun-2026
FUTSTK,AUBANK,25-Aug-2026,0,,979,980.45,976.65,976.65,976.6,13,127.3145,129000,0,11-Jun-2026
FUTSTK,AUROPHARMA,30-Jun-2026,0,,1467.7,1479.8,1463.2,1469.7,1469.7,1069,8657.044,17305750,-53900,11-Jun-2026
FUTSTK,AUROPHARMA,28-Jul-2026,0,,1481.2,1485.9,1479.5,1481,1481,16,130.4232,99550,1650,11-Jun-2026
FUTSTK,AUROPHARMA,25-Aug-2026,0,,0,0,0,1470,1484.3,0,0,5500,0,11-Jun-2026
FUTSTK,AXISBANK,30-Jun-2026,0,,1313,1341.8,1313,1320.5,1320.5,13687,113594.0819,59084375,35000,11-Jun-2026
FUTSTK,AXISBANK,28-Jul-2026,0,,1321.7,1347.6,1319.7,1326.9,1326.9,421,3513.0438,8925625,25625,11-Jun-2026
FUTSTK,AXISBANK,25-Aug-2026,0,,1330.6,1353.9,1330.6,1332.6,1332.6,99,829.2544,241875,10000,11-Jun-2026
FUTSTK,BAJAJ-AUTO,30-Jun-2026,0,,10139,10231,10076,10106,10106,3767,28606.6215,2720700,58575,11-Jun-2026
FUTSTK,BAJAJ-AUTO,28-Jul-2026,0,,9988,10105,9951,10054,10054,1301,9806.6475,143325,40350,11-Jun-2026
FUTSTK,BAJAJ-AUTO,25-Aug-2026,0,,9970,10088,9943,10045,10254,21,157.98,4725,75,11-Jun-2026
FUTSTK,BAJAJFINSV,30-Jun-2026,0,,1664.1,1666.3,1645.5,1649.6,1649.6,2455,10165.1508,10074250,157500,11-Jun-2026
FUTSTK,BAJAJFINSV,28-Jul-2026,0,,1675,1675,1655,1658.2,1658.2,224,1118.7894,1936200,26400,11-Jun-2026
FUTSTK,BAJAJFINSV,25-Aug-2026,0,,1673.1,1682.8,1661.7,1661.8,1661.8,26,130.4373,29700,1200,11-Jun-2026
FUTSTK,BAJAJHLDNG,30-Jun-2026,0,,9898,9934,9751,9776,9776,419,2059.4065,306600,4400,11-Jun-2026
FUTSTK,BAJAJHLDNG,28-Jul-2026,0,,9981,9981,9801,9818,9818,22,163.2075,3975,450,11-Jun-2026
FUTSTK,BAJAJHLDNG,25-Aug-2026,0,,0,0,0,10050,10000,0,0,600,0,11-Jun-2026
FUTSTK,BAJFINANCE,30-Jun-2026,0,,878,882.95,866.55,869,869,4254,27828.8858,77172750,396750,11-Jun-2026
FUTSTK,BAJFINANCE,28-Jul-2026,0,,882,887,871.6,873.25,873.25,535,3515.43,2079750,214500,11-Jun-2026
FUTSTK,BAJFINANCE,25-Aug-2026,0,,888,890,876.1,878.15,878.15,66,437.3134,259500,11250,11-Jun-2026
FUTSTK,BANDHANBNK,30-Jun-2026,0,,200.15,202.8,194.1,194.45,194.45,4197,29837.3828,111218400,-1256400,11-Jun-2026
FUTSTK,BANDHANBNK,28-Jul-2026,0,,202.27,203.88,195.11,195.54,195.54,242,1731.3365,3582000,270000,11-Jun-2026
FUTSTK,BANDHANBNK,25-Aug-2026,0,,201.59,204.1,194.93,195.2,195.2,347,2474.1025,2080800,892800,11-Jun-2026
FUTSTK,BANKBARODA,30-Jun-2026,0,,267.25,269.45,263.35,268,268,9445,73668.6888,128992500,2073825,11-Jun-2026
FUTSTK,BANKBARODA,28-Jul-2026,0,,268.85,270.85,264.75,269.15,269.15,404,3164.7871,3562650,263250,11-Jun-2026
FUTSTK,BANKBARODA,25-Aug-2026,0,,270.1,272,266.8,270.9,270.9,57,448.6497,623025,43875,11-Jun-2026
FUTSTK,BANKINDIA,30-Jun-2026,0,,144.1,144.89,140.88,142.18,142.18,2504,18552.8559,77266800,2397200,11-Jun-2026
FUTSTK,BANKINDIA,28-Jul-2026,0,,144.1,145.42,141.75,143.16,143.16,197,1467.0266,1965600,291200,11-Jun-2026
FUTSTK,BANKINDIA,25-Aug-2026,0,,145.12,145.86,142.7,143.86,143.86,17,127.4099,312000,26000,11-Jun-2026
FUTSTK,BDL,30-Jun-2026,0,,1154.3,1176.4,1147.1,1151.6,1151.6,1861,7570.695,6223000,74900,11-Jun-2026
FUTSTK,BDL,28-Jul-2026,0,,1148.9,1162.3,1134.8,1138.1,1138.1,592,2897.137,1060800,128350,11-Jun-2026
FUTSTK,BDL,25-Aug-2026,0,,1145.9,1151,1128,1131.8,1131.8,36,174.5938,158100,12325,11-Jun-2026
FUTSTK,BEL,30-Jun-2026,0,,408,408.6,403.1,403.6,403.6,3894,22487.8238,110384775,312075,11-Jun-2026
FUTSTK,BEL,28-Jul-2026,0,,412,412,405.35,406.1,406.1,459,2668.0218,5816850,259350,11-Jun-2026
FUTSTK,BEL,25-Aug-2026,0,,410.65,413,407.65,408,408,191,1115.9097,893475,165300,11-Jun-2026
FUTSTK,BHARATFORG,30-Jun-2026,0,,1945.3,1965.2,1931,1946.3,1946.3,2338,22815.724,6953500,-43000,11-Jun-2026
FUTSTK,BHARATFORG,28-Jul-2026,0,,1940,1966.1,1937.4,1953.4,1953.4,76,743.0585,134500,9500,11-Jun-2026
FUTSTK,BHARATFORG,25-Aug-2026,0,,1950,1970,1950,1954.5,1954.5,12,117.789,9000,500,11-Jun-2026
FUTSTK,BHARTIARTL,30-Jun-2026,0,,1774.3,1802,1774.3,1790.9,1790.9,5361,45681.7071,55195475,-253650,11-Jun-2026
FUTSTK,BHARTIARTL,28-Jul-2026,0,,1790.3,1799.5,1788,1791.6,1791.6,369,3143.1548,1262075,33725,11-Jun-2026
FUTSTK,BHARTIARTL,25-Aug-2026,0,,1762.3,1799.4,1762.3,1788.7,1788.7,65,553.2145,7154450,9975,11-Jun-2026
FUTSTK,BHEL,30-Jun-2026,0,,375,380.8,369.5,372.35,372.35,3322,32653.257,110265750,506625,11-Jun-2026
FUTSTK,BHEL,28-Jul-2026,0,,376.9,382.85,371.55,374.2,374.2,403,3976.224,1995000,291375,11-Jun-2026
FUTSTK,BHEL,25-Aug-2026,0,,378.95,383.2,372.85,374.9,374.9,54,533.9788,375375,89250,11-Jun-2026
FUTSTK,BIOCON,30-Jun-2026,0,,415.95,420.95,413.35,416.7,416.7,1156,12060.6675,38707500,-235000,11-Jun-2026
FUTSTK,BIOCON,28-Jul-2026,0,,417.85,422.15,415.55,418.85,418.85,153,1604.6213,1035000,45000,11-Jun-2026
FUTSTK,BIOCON,25-Aug-2026,0,,419.9,423.1,418.25,420.3,420.3,5,52.5613,117500,5000,11-Jun-2026
FUTSTK,BLUESTARCO,30-Jun-2026,0,,1554.3,1577.8,1552.9,1561.9,1561.9,865,4394.001,2659800,-975,11-Jun-2026
FUTSTK,BLUESTARCO,28-Jul-2026,0,,1569.9,1571.8,1551.3,1558.9,1558.9,57,288.9354,84825,7150,11-Jun-2026
FUTSTK,BLUESTARCO,25-Aug-2026,0,,1564.6,1566.4,1564.6,1565.5,1565.5,2,10.1758,12025,650,11-Jun-2026
FUTSTK,BOSCHLTD,30-Jun-2026,0,,37810,38425,37560,37645,37645,1348,12770.6188,303700,-2775,11-Jun-2026
FUTSTK,BOSCHLTD,28-Jul-2026,0,,38120,38575,37800,37870,37870,78,743.0513,7950,500,11-Jun-2026
FUTSTK,BOSCHLTD,25-Aug-2026,0,,38250,38380,37750,37800,37800,21,199.0038,975,400,11-Jun-2026
FUTSTK,BPCL,30-Jun-2026,0,,284.75,287.9,281.05,286.9,286.9,4563,25678.3822,44962850,-1947350,11-Jun-2026
FUTSTK,BPCL,28-Jul-2026,0,,287,289,282.7,288.4,288.4,236,1331.5598,3163950,112575,11-Jun-2026
FUTSTK,BPCL,25-Aug-2026,0,,287.35,289.75,284.15,289.45,289.45,45,254.7869,185650,41475,11-Jun-2026
FUTSTK,BRITANNIA,30-Jun-2026,0,,5179,5218.5,5119,5136,5136,1397,9010.6181,2616750,27875,11-Jun-2026
FUTSTK,BRITANNIA,28-Jul-2026,0,,5203,5242.5,5161.5,5168,5168,52,337.8069,57375,1875,11-Jun-2026
FUTSTK,BRITANNIA,25-Aug-2026,0,,5148,5148,5100,5100,5100,5,31.97,17875,500,11-Jun-2026
