INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTSTK,AUROPHARMA,25-Aug-2026,0,,1479.8,1515,1479.8,1511.9,1511.9,14,115.445,17050,3850,19-Jun-2026
FUTSTK,AXISBANK,30-Jun-2026,0,,1359,1366,1354.7,1363,1363,7269,61825.9169,54523750,-122500,19-Jun-2026
FUTSTK,AXISBANK,28-Jul-2026,0,,1366,1372.2,1361.8,1368.8,1368.8,2235,19089.9781,10824375,1166250,19-Jun-2026
FUTSTK,AXISBANK,25-Aug-2026,0,,1376.1,1378.6,1370.5,1376.4,1376.4,130,1116.5544,405000,64375,19-Jun-2026
FUTSTK,BAJAJ-AUTO,30-Jun-2026,0,,10000,10000,9777,9924,9924,7644,56609.4893,3147525,-66225,19-Jun-2026
FUTSTK,BAJAJ-AUTO,28-Jul-2026,0,,9895,9909,9652,9784,9784,2102,15382.3238,377100,54300,19-Jun-2026
FUTSTK,BAJAJ-AUTO,25-Aug-2026,0,,9900,9900,9683,9800,9800,68,498.3285,17850,2250,19-Jun-2026
FUTSTK,BAJAJFINSV,30-Jun-2026,0,,1770.5,1778.4,1761.8,1774.6,1774.6,2495,11054.1863,10451250,98500,19-Jun-2026
FUTSTK,BAJAJFINSV,28-Jul-2026,0,,1770,1787.3,1770,1784.6,1784.6,537,2869.2627,2254200,90300,19-Jun-2026
FUTSTK,BAJAJFINSV,25-Aug-2026,0,,1788,1790.7,1787,1787,1791,9,48.3591,57300,-300,19-Jun-2026
FUTSTK,BAJAJHLDNG,30-Jun-2026,0,,10617,10730,10478,10580,10580,1086,5750.0225,307200,-1850,19-Jun-2026
FUTSTK,BAJAJHLDNG,28-Jul-2026,0,,10519,10790,10519,10638,10638,99,791.2223,11175,1125,19-Jun-2026
FUTSTK,BAJAJHLDNG,25-Aug-2026,0,,10600,10600,10600,10600,10808,1,7.95,1275,-75,19-Jun-2026
FUTSTK,BAJFINANCE,30-Jun-2026,0,,953.95,969.15,950.6,959.5,959.5,14189,102210.0529,73788750,2197500,19-Jun-2026
FUTSTK,BAJFINANCE,28-Jul-2026,0,,959,973.9,957.7,964.05,964.05,2667,19303.6905,4112250,1208250,19-Jun-2026
FUTSTK,BAJFINANCE,25-Aug-2026,0,,966.45,978.5,964.1,968.25,968.25,66,480.3941,339000,3000,19-Jun-2026
FUTSTK,BANDHANBNK,30-Jun-2026,0,,215,215,207.42,208.51,208.51,7085,53450.726,99252000,-11818800,19-Jun-2026
FUTSTK,BANDHANBNK,28-Jul-2026,0,,215,215,208.75,209.82,209.82,3689,27925.8048,18392400,11833200,19-Jun-2026
FUTSTK,BANDHANBNK,25-Aug-2026,0,,214.4,214.4,208.18,209.32,209.32,170,1293.3133,4834800,432000,19-Jun-2026
FUTSTK,BANKBARODA,30-Jun-2026,0,,281.2,283.2,278.25,281.75,281.75,4876,40077.8016,115476075,-889200,19-Jun-2026
FUTSTK,BANKBARODA,28-Jul-2026,0,,283,284.85,280.1,283.3,283.3,1457,12045.2304,8818875,3100500,19-Jun-2026
FUTSTK,BANKBARODA,25-Aug-2026,0,,286,286,281.95,284.9,284.9,158,1313.2767,1254825,251550,19-Jun-2026
FUTSTK,BANKINDIA,30-Jun-2026,0,,147.39,147.7,145.93,147.07,147.07,2557,19498.1088,80433600,1112800,19-Jun-2026
FUTSTK,BANKINDIA,28-Jul-2026,0,,148.2,148.52,146.75,147.81,147.81,481,3690.0526,4758000,1138800,19-Jun-2026
FUTSTK,BANKINDIA,25-Aug-2026,0,,148.87,148.96,147.6,148.72,148.72,17,131.2277,587600,52000,19-Jun-2026
FUTSTK,BDL,30-Jun-2026,0,,1310.5,1381,1300.1,1374.8,1374.8,6348,30183.4379,5463850,-276850,19-Jun-2026
FUTSTK,BDL,28-Jul-2026,0,,1299.9,1365.9,1291.2,1357.6,1357.6,1231,7025.5305,1469650,91800,19-Jun-2026
FUTSTK,BDL,25-Aug-2026,0,,1287.9,1352,1283.9,1346.3,1346.3,98,554.7134,142800,-4675,19-Jun-2026
FUTSTK,BEL,30-Jun-2026,0,,427,432,425.2,428.25,428.25,7185,43823.2851,110957625,17100,19-Jun-2026
FUTSTK,BEL,28-Jul-2026,0,,430,434.4,427.35,430.4,430.4,1649,10112.2503,12588450,1100100,19-Jun-2026
FUTSTK,BEL,25-Aug-2026,0,,431.25,436,429.75,432.45,432.45,209,1287.0764,1308150,25650,19-Jun-2026
FUTSTK,BHARATFORG,30-Jun-2026,0,,2024,2056.8,2016.8,2035,2035,3481,35394.094,7675500,364000,19-Jun-2026
FUTSTK,BHARATFORG,28-Jul-2026,0,,2036,2060,2018.5,2032.6,2032.6,707,7193.53,373000,99000,19-Jun-2026
FUTSTK,BHARATFORG,25-Aug-2026,0,,2057.9,2061,2031.8,2045,2045,30,306.88,25000,-1500,19-Jun-2026
FUTSTK,BHARTIARTL,30-Jun-2026,0,,1870.2,1916.5,1870,1911.8,1911.8,32522,294304.0312,49437050,-246050,19-Jun-2026
