FUTSTK,ASIANPAINT,29-May-2025,0,,2315,2344.6,2313,2332.05,2332.05,221,1029.6835,89000,13400,21-Mar-2025
FUTSTK,ASTRAL,27-Mar-2025,0,,1279,1300,1272.85,1291.9,1291.9,3813,18062.7618,4860915,-416545,21-Mar-2025
FUTSTK,ASTRAL,24-Apr-2025,0,,1248,1308.75,1248,1301.05,1301.05,1444,6884.4295,1243396,243688,21-Mar-2025
FUTSTK,ASTRAL,29-May-2025,0,,1294.1,1316.65,1294.1,1307.6,1307.6,65,311.9529,72299,10643,21-Mar-2025
FUTSTK,ATGL,27-Mar-2025,0,,615.1,637,615.1,630.55,630.55,1656,8059.7311,3890500,-276675,21-Mar-2025
FUTSTK,ATGL,24-Apr-2025,0,,591.15,606,588.6,601.25,601.25,1096,5086.4843,2850450,241800,21-Mar-2025
FUTSTK,ATGL,29-May-2025,0,,580,585,576,585,585,29,130.4844,100750,3875,21-Mar-2025
FUTSTK,AUBANK,27-Mar-2025,0,,528.6,544.45,525.45,541.9,541.9,8901,47679.332,19323000,-2921000,21-Mar-2025
FUTSTK,AUBANK,24-Apr-2025,0,,528.65,542,524.4,539.35,539.35,4204,22454.859,5053000,1793000,21-Mar-2025
FUTSTK,AUBANK,29-May-2025,0,,531,540,525,538.4,538.4,146,777.8865,236000,-11000,21-Mar-2025
FUTSTK,AUROPHARMA,27-Mar-2025,0,,1183.5,1203.1,1181,1201.25,1201.25,4685,30757.0934,11227150,-1151700,21-Mar-2025
FUTSTK,AUROPHARMA,24-Apr-2025,0,,1193.35,1211.5,1190,1209.8,1209.8,2718,17972.9894,1559250,1170950,21-Mar-2025
FUTSTK,AUROPHARMA,29-May-2025,0,,1205,1215.05,1195.55,1214.55,1214.55,22,146.1224,13750,3300,21-Mar-2025
FUTSTK,AXISBANK,27-Mar-2025,0,,1053.4,1071.55,1050.4,1069.5,1069.5,27071,180315.5266,60615625,-7975625,21-Mar-2025
FUTSTK,AXISBANK,24-Apr-2025,0,,1060.1,1079,1057.55,1076.75,1076.75,13985,93786.4541,10715000,7053125,21-Mar-2025
FUTSTK,AXISBANK,29-May-2025,0,,1065,1084.1,1064.25,1082.9,1082.9,128,861.0181,256875,2500,21-Mar-2025
FUTSTK,BAJAJ-AUTO,27-Mar-2025,0,,7949.45,8149,7931.85,8075.2,8075.2,10113,61133.4529,2274300,-211875,21-Mar-2025
FUTSTK,BAJAJ-AUTO,24-Apr-2025,0,,8000,8200,8000,8123.45,8123.45,4488,27294.4686,324150,158625,21-Mar-2025
FUTSTK,BAJAJ-AUTO,29-May-2025,0,,8068.9,8245,8059.45,8181.3,8181.3,101,617.3801,8775,150,21-Mar-2025
FUTSTK,BAJAJFINSV,27-Mar-2025,0,,1860.05,1884.9,1824.9,1846.05,1846.05,17325,159549.0853,16080000,-2135000,21-Mar-2025
FUTSTK,BAJAJFINSV,24-Apr-2025,0,,1879.95,1885.25,1840,1858.7,1858.7,7331,67986.5193,4006000,2484500,21-Mar-2025
FUTSTK,BAJAJFINSV,29-May-2025,0,,1894.55,1894.9,1850.25,1867.95,1867.95,97,905.089,65500,12500,21-Mar-2025
FUTSTK,BAJFINANCE,27-Mar-2025,0,,9081,9081,8835.65,8930.65,8930.65,28317,316177.4206,7048875,-601125,21-Mar-2025
FUTSTK,BAJFINANCE,24-Apr-2025,0,,9038.35,9099.4,8900,8989.35,8989.35,15458,173802.1361,2476250,842625,21-Mar-2025
FUTSTK,BAJFINANCE,29-May-2025,0,,9092.45,9110,8950.35,9043.4,9043.4,992,11215.9818,141500,22000,21-Mar-2025
FUTSTK,BALKRISIND,27-Mar-2025,0,,2605.5,2639.5,2596.5,2617.85,2617.85,2346,18419.1648,1994400,-147300,21-Mar-2025
FUTSTK,BALKRISIND,24-Apr-2025,0,,2624.4,2650.05,2605.15,2627.75,2627.75,1150,9070.8428,353700,176100,21-Mar-2025
FUTSTK,BALKRISIND,29-May-2025,0,,0,0,0,2605.9,2642.1,0,0,3600,0,21-Mar-2025
FUTSTK,BANDHANBNK,27-Mar-2025,0,,142.21,145.25,141.1,144.91,144.91,5886,23764.6634,68983600,-7025200,21-Mar-2025
FUTSTK,BANDHANBNK,24-Apr-2025,0,,142.31,146.26,142.31,145.89,145.89,3268,13277.8976,22677200,5261200,21-Mar-2025
FUTSTK,BANDHANBNK,29-May-2025,0,,143.98,147.1,143.46,146.79,146.79,165,674.5696,1920800,98000,21-Mar-2025
FUTSTK,BANKBARODA,27-Mar-2025,0,,215,217.34,214.27,216.4,216.4,8131,51457.0437,121694625,-7125300,21-Mar-2025
FUTSTK,BANKBARODA,24-Apr-2025,0,,216.32,218.85,216.29,217.89,217.89,3583,22832.619,38159550,6475950,21-Mar-2025
FUTSTK,BANKBARODA,29-May-2025,0,,218.76,219.9,218,219.09,219.09,74,474.0123,20270250,38025,21-Mar-2025
FUTSTK,BANKINDIA,27-Mar-2025,0,,102.34,106.26,101.7,105.95,105.95,2443,12322.9742,44587825,-3396800,21-Mar-2025
FUTSTK,BANKINDIA,24-Apr-2025,0,,103,106.99,102.8,106.73,106.73,1150,5853.2847,7102400,1949300,21-Mar-2025
FUTSTK,BANKINDIA,29-May-2025,0,,105.5,107.4,105.21,107.36,107.36,16,81.8137,332925,14475,21-Mar-2025
FUTSTK,BEL,27-Mar-2025,0,,299.98,300.4,293.19,296.24,296.25,11319,95777.7863,64632300,-6158850,21-Mar-2025
