INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,PNB,28-Apr-26,88,CE,0,0,0,15.59,16.42,0,0,8000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,88,PE,0.72,0.72,0.47,0.62,0.62,338,2395.7144,1672000,560000,1-Apr-26
OPTSTK,PNB,28-Apr-26,90,CE,15.9,15.9,15.9,15.9,14.5,2,16.944,96000,8000,1-Apr-26
OPTSTK,PNB,28-Apr-26,90,PE,1.01,1.05,0.61,0.81,0.81,391,2840.3976,1976000,120000,1-Apr-26
OPTSTK,PNB,28-Apr-26,91,CE,0,0,0,36.02,13.55,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,91,PE,0,0,0,1.94,0.18,0,0,152000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,92,CE,13.5,13.71,13.03,13.03,12.62,11,92.7728,24000,8000,1-Apr-26
OPTSTK,PNB,28-Apr-26,92,PE,1.46,1.47,0.81,1.05,1.05,199,1481.2896,1944000,-480000,1-Apr-26
OPTSTK,PNB,28-Apr-26,93,CE,0,0,0,37.46,11.71,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,93,PE,1.1,1.28,0.94,1.19,1.19,23,173.1512,168000,-8000,1-Apr-26
OPTSTK,PNB,28-Apr-26,94,CE,12.59,12.6,12.25,12.47,10.81,11,93.6528,96000,-8000,1-Apr-26
OPTSTK,PNB,28-Apr-26,94,PE,1.45,1.45,1.06,1.37,1.37,74,563.8872,376000,72000,1-Apr-26
OPTSTK,PNB,28-Apr-26,95,CE,11.05,11.05,11.05,11.05,11.05,2,16.968,40000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,95,PE,2,2,1.22,1.54,1.54,289,2230.9576,1376000,248000,1-Apr-26
OPTSTK,PNB,28-Apr-26,96,CE,15.5,15.5,10,10,9.11,4,35.24,32000,32000,1-Apr-26
OPTSTK,PNB,28-Apr-26,96,PE,2.4,2.4,1.37,1.73,1.73,56,437.572,576000,48000,1-Apr-26
OPTSTK,PNB,28-Apr-26,97,CE,8.45,8.45,8.45,8.45,8.3,1,8.436,8000,8000,1-Apr-26
OPTSTK,PNB,28-Apr-26,97,PE,2.2,2.2,1.57,1.96,1.96,45,356.0264,152000,56000,1-Apr-26
