TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-01,2026-04-01,FO,BSE,IDO,867854,,SENSEX,,2026-04-09,2026-04-09,72700.00,PE,SENSEX2640972700PE,1043.70,1043.70,695.00,926.75,918.05,1787.20,73134.32,926.75,2500,920,4580,337009430.00,165,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,877010,,SENSEX,,2026-04-02,2026-04-02,72400.00,CE,SENSEX2640272400CE,1000.00,1680.85,855.00,981.50,1016.15,631.20,73134.32,981.50,54040,-40800,407880,30050315891.00,10390,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,877526,,SENSEX,,2026-04-09,2026-04-09,72500.00,PE,SENSEX2640972500PE,962.65,962.65,600.25,851.95,827.00,1694.90,73134.32,851.95,27540,13680,106100,7775250301.00,3846,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,877864,,SENSEX,,2026-04-09,2026-04-09,71300.00,PE,SENSEX2640971300PE,651.10,651.10,487.20,499.70,487.20,1158.00,73134.32,499.70,760,220,520,37338872.00,17,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,878301,,SENSEX,,2026-04-02,2026-04-02,71400.00,CE,SENSEX2640271400CE,1700.05,2579.40,1700.05,1838.75,1869.00,1118.20,73134.32,1838.75,14740,-5380,13900,1024809854.00,588,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,878555,,SENSEX,,2026-04-02,2026-04-02,71400.00,PE,SENSEX2640271400PE,252.05,252.05,21.00,54.95,46.35,534.40,73134.32,54.95,210140,149820,14610400,1043928894618.00,230957,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,878623,,SENSEX,,2026-04-02,2026-04-02,71600.00,PE,SENSEX2640271600PE,250.30,250.30,30.15,70.15,62.25,621.95,73134.32,70.15,207240,149340,17793460,1275168809548.00,293533,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,879363,,SENSEX,,2026-04-02,2026-04-02,70500.00,CE,SENSEX2640270500CE,2500.05,3513.60,2500.05,2718.35,2728.70,1806.60,73134.32,2718.35,1200,-800,2660,195830512.00,66,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,880803,,SENSEX,,2026-04-23,2026-04-23,89400.00,CE,SENSEX2642389400CE,22.85,22.85,22.85,22.85,22.85,9.55,73134.32,22.85,20,20,20,1788457.00,1,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,881125,,SENSEX,,2026-04-23,2026-04-23,76000.00,CE,SENSEX2642376000CE,1080.50,1080.50,1080.50,1080.50,1080.50,982.30,73134.32,1188.85,20,20,20,1541610.00,1,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,882036,,SENSEX,,2026-04-16,2026-04-16,68600.00,PE,SENSEX2641668600PE,410.00,410.00,263.90,263.90,263.90,661.00,73134.32,333.50,0,0,60,4134756.00,3,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,883174,,SENSEX,,2026-04-09,2026-04-09,69000.00,PE,SENSEX2640969000PE,274.00,274.00,109.60,150.35,140.00,504.40,73134.32,150.35,27880,25020,98540,6813767671.00,2648,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,884341,,SENSEX,,2026-04-09,2026-04-09,67000.00,PE,SENSEX2640967000PE,100.00,100.00,40.00,50.05,44.00,152.05,73134.32,50.05,24680,24140,64300,4311443637.00,1280,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,884478,,SENSEX,,2026-04-02,2026-04-02,67300.00,PE,SENSEX2640267300PE,6.00,6.70,1.45,2.25,1.60,21.15,73134.32,2.25,22360,-8160,402660,27100150171.00,5508,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,884780,,SENSEX,,2026-04-02,2026-04-02,66800.00,PE,SENSEX2640266800PE,12.00,12.00,1.15,2.05,1.50,17.25,73134.32,2.05,11320,-4480,82380,5503210020.00,1574,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,STO,880855,,MANAPPURAM,,2026-04-30,2026-04-30,250.00,PE,MANAPPURAM26APR250PE,5.90,5.90,5.90,5.90,5.90,9.30,255.40,7.25,0,0,6000,1535400.00,2,F1,3000,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,877673,,SENSEX,,2026-04-02,2026-04-02,72100.00,PE,SENSEX2640272100PE,437.90,437.90,55.80,130.95,125.15,836.75,73134.32,130.95,203640,105640,18690660,1349635685039.00,353717,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,877956,,SENSEX,,2026-04-09,2026-04-09,71400.00,CE,SENSEX2640971400CE,2580.00,2580.00,2580.00,2580.00,2580.00,1989.05,73134.32,2426.90,860,0,20,1479600.00,1,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,878041,,SENSEX,,2026-04-02,2026-04-02,71500.00,CE,SENSEX2640271500CE,1901.10,2512.65,1591.25,1753.75,1775.50,1089.30,73134.32,1753.75,34500,-2760,96440,7096453210.00,2052,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,878108,,SENSEX,,2026-04-02,2026-04-02,71700.00,CE,SENSEX2640271700CE,1701.25,2340.45,1425.40,1568.60,1582.55,956.05,73134.32,1568.60,29920,-6340,25360,1867498450.00,1056,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,878133,,SENSEX,,2026-04-02,2026-04-02,71100.00,PE,SENSEX2640271100PE,220.00,220.00,19.20,37.40,31.00,420.15,73134.32,37.40,238060,183260,11612700,826097317199.00,173234,F1,20,,,,,
